IRALCFY,IRMJFY,IRCIGFM,IRSMKLSS30N,IRALCFM,IRMJFM,IRCIGAGE,IRSMKLSSTRY,IRALCAGE,IRMJAGE,MRJFLAG,ALCFLAG,TOBFLAG,ALCYDAYS,MRJYDAYS,ALCMDAYS,MRJMDAYS,CIGMDAYS,SMKLSMDAYS,SCHFELT,TCHGJOB,AVGGRADE,STNDSCIG,STNDSMJ,STNDALC,STNDDNK,PARCHKHW,PARHLPHW,PRCHORE2,PRLMTTV2,PARLMTSN,PRGDJOB2,PRPROUD2,ARGUPAR,YOFIGHT2,YOGRPFT2,YOHGUN2,YOSELL2,YOSTOLE2,YOATTAK2,PRPKCIG2,PRMJEVR2,PRMJMO,PRALDLY2,YFLPKCG2,YFLTMRJ2,YFLMJMO,YFLADLY2,FRDPCIG2,FRDMEVR2,FRDMJMON,FRDADLY2,TALKPROB,PRTALK3,PRBSOLV2,PREVIOL2,PRVDRGO2,GRPCNSL2,PREGPGM2,YTHACT2,DRPRVME3,ANYEDUC3,RLGATTD,RLGIMPT,RLGDCSN,RLGFRND,IRSEX,NEWRACE2,HEALTH2,EDUSCHLGO,EDUSCHGRD2,EDUSKPCOM,IMOTHER,IFATHER,INCOME,GOVTPROG,POVERTY3,PDEN10,COUTYP4
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,7,3,1,3,0,1,1,2,2,1,2,2
991,60,91,91,91,2,991,991,991,14,1,0,0,6,3,5,1,6,5,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,4,1,6,0,1,1,2,2,1,2,2
1,991,91,91,93,91,991,991,11,991,0,1,0,1,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,6,1,1,2,1,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,NA,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,7,2,1,2,0,1,1,3,2,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,5,0,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,7,1,2,99,99,2,1,3,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,4,2,1,6,5,1,1,3,1,3,2,2
993,991,91,91,93,91,991,991,12,991,0,1,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,4,10,1,2,2,1,1,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,99,99,1,2,3,2,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,6,0,1,1,4,2,3,1,1
